strassenschluessel,strassenname,stadtteilschluessel,stadtteilname,plz,hausnr_ungerade_von,hausnr_ungerade_bis,hausnr_gerade_von,hausnr_gerade_bis
01307,Haselbergstr.,303,Lindenthal,50931,0003,0031,0004,0020
01308,Haselnußhof,604,Heimersdorf,50767,0001,0005,0002,0006
01309,Haselnußweg,604,Heimersdorf,50767,0001,0039,0018,0038
01310,Hasencleverstr.,809,Neubrück,51109,0001,0005,0002,0002
01311,Hasertstr.,105,Deutz,50679,0001,0009,0002,0008
01312,Haslacher Weg,901,Mülheim,51063,0001,0039,0002,0030
01313,Hasselrather Weg,604,Heimersdorf,50767,,,0002,0032a
01314,Hatzfeldstr.,905,Dellbrück,51069,0001,0079,0002,0020b
01315,Hauffstr.,402,Neuehrenfeld,50825,0001,0021,0002,0022
01316,Haulemännchenplatz,905,Dellbrück,51067,0001,0003,0002,0006
01318,Hausensteinhof,809,Neubrück,51109,,,,
01319,Hausweilerstr.,204,Raderthal,50968,0001,0007,0002,0002
01320,Hauweweg,602,Fühlingen,50769,,,0004,0020
01321,Haydnstr.,303,Lindenthal,50935,0003,0019,,
01322,Hebbelstr.,201,Bayenthal,50968,0001,0093,0004,0092
01323,Hebborner Str.,905,Dellbrück,51069,0001,0009,0002,0022
01324,Hechinger Str.,507,Bilderstöckchen,50739,0001,0027,,
01325,Hechtstr.,701,Poll,51105,,,0002,0008
01326,Heckhofweg,507,Bilderstöckchen,50739,,,0144,0146
01327,Heckpfad,505,Weidenpesch,50737,0001,0061,0002,0060a
01328,Heckweg,506,Longerich,50739,0001,0035,0030,0054
01329,Hedwig-Pohlschröder-Str.,506,Longerich,50737,0001,0035,,
01330,Heidekaul,204,Raderthal,50968,0001,0033,0002,0010
01331,Heidelberger Str.,902,Buchforst,51065,0001,0063,0004,0060
01331,Heidelberger Str.,903,Buchheim,51065,,,,
01332,Heidemannstr.,402,Neuehrenfeld,50825,0071,0163,0068,1026
01333,Heidenrichstr.,906,Höhenhaus,51061,,,0002,0028
01334,Heidestr.,905,Dellbrück,51069,0005,0033,0002,0068
01335,Heidkampstr.,901,Mülheim,51063,,,0002,0018
01336,Heilbronner Str.,805,Ostheim,51107,0001,0027,0002,0024
01337,Heiligenhauser Str.,905,Dellbrück,51069,0001,0003,0002,0014
01338,Heimbacher Str.,303,Lindenthal,50937,0001,0011,0002,0030
01339,Heimdallstr.,808,Rath/Heumar,51107,0001,0019,0002,0020
01342,Heimfriedweg,906,Höhenhaus,51061,0001,0051,0002,0040
01343,Heimstättenweg,403,Bickendorf,50827,0001,0027,0002,0028
01344,Heinestr.,303,Lindenthal,50931,0001,0031,0002,0034
01345,Heinrich-Billstein-Str.,603,Seeberg,50769,0001,0013,0002,0022
01346,Heinrich-Billstein-Weg,305,Müngersdorf,50933,,,,
01347,Heinrich-Blum-Str.,909,Flittard,51061,,,0002,0018
01348,Heinrich-Brauns-Str.,906,Höhenhaus,51061,0001,0023,0002,0040
01349,Heinrich-Hoerle-Str.,506,Longerich,50737,0013,0027,0002,0022
01350,Heinrich-Latz-Str.,611,Roggendorf/Thenhoven,50769,0009,0031,0008,0028
01351,Heinrich-Lersch-Str.,809,Neubrück,51109,0001,0027,,
01352,Heinrich-Mann-Str.,405,Bocklemünd/Mengenich,50829,,,0002,0032
01353,Heinrich-Nauen-Str.,301,Klettenberg,50939,0003,0007,0002,0018
01354,Heinrichshofweg,602,Fühlingen,50769,0005,0011,0004,0006
01355,Heinrich-Stevens-Weg,303,Lindenthal,50935,,,,
01356,Heinrichstr.,101,Altstadt/Süd,50676,0029,0051,0002,0054
01357,Heinrich-von-Stephan-Str.,507,Bilderstöckchen,50739,0001,0025,0002,0012
01358,Heinsbergstr.,102,Neustadt/Süd,50674,0001,0029,0002,0036
01359,Heinzelmännchenweg,402,Neuehrenfeld,50825,0001,0045,0002,0046
01360,Heisterbachstr.,301,Klettenberg,50939,0001,0053,0002,0028
01361,Helenenstr.,103,Altstadt/Nord,50667,0001,0019,0002,0014
01362,Helenenwallstr.,105,Deutz,50679,0001,0029,0002,0042
01363,Helene-Weber-Platz,809,Neubrück,51109,0001,0005,,
01364,Heliosstr.,401,Ehrenfeld,50825,0015,0053,0002,0006a
01365,Hellenthaler Str.,302,Sülz,50937,0001,0011,0002,0022
01366,Hellewatter Str.,402,Neuehrenfeld,50825,0001,0005,0002,0012
01367,Helmholtzplatz,401,Ehrenfeld,50825,0001,0011,,
01368,Heinrich-Strünker-Str.,905,Dellbrück,51069,,,,
01369,Henleinstr.,805,Ostheim,51107,0001,0015,0002,0020
01370,Katharina-Henot-Str.,402,Neuehrenfeld,50823,0001,0007,0002,0010
01371,Henri-Dunant-Str.,805,Ostheim,51107,0001,0083,0002,0044
01372,Henry-Ford-Str.,504,Niehl,50735,0001,0001,,
01373,Heppenheimer Str.,805,Ostheim,51107,0001,0005,0002,0014
01374,Herberzstr.,612,Worringen,50769,0001,0023,0002,0018
01375,Herbesthaler Str.,305,Müngersdorf,50933,0001,0015,0002,0014
01376,Herbigstr.,401,Ehrenfeld,50825,0001,0041,0002,0054
01377,Herbrandstr.,401,Ehrenfeld,50825,0001,0025,0010,0010
01378,Herderstr.,303,Lindenthal,50931,0009,0073,0002,0070
01378,Herderstr.,303,Lindenthal,50935,0085,0095,0084,0094
01379,Herforder Str.,506,Longerich,50737,0001,0023,0002,0030
01380,Heribertusstr.,105,Deutz,50679,0001,0013,0004,0014
01381,Herkenrathweg,805,Ostheim,51107,0003,0023,0002,0010
01382,Herkulesstr.,402,Neuehrenfeld,50823,0027,0111,0038,0076
01383,Herler Ring,903,Buchheim,51063,,,0002,0002
01383,Herler Ring,903,Buchheim,51067,0049,0065,0176,0176
01384,Herler Str.,903,Buchheim,51067,0001,0131,0002,0094
01385,Hermann-Becker-Str.,104,Neustadt/Nord,50672,,,0002,0010
01386,Hermann-Ehlers-Str.,809,Neubrück,51109,0001,0019,0002,0052
01387,Hermann-Garke-Weg,305,Müngersdorf,50933,,,,
01388,Hermann-Hesse-Weg,809,Neubrück,51109,0001,0029,0002,0026
01389,Hermann-Josef-Schmitt-Str.,406,Ossendorf,50827,0001,0075,0002,0064
01390,Hermann-Joseph-Platz,101,Altstadt/Süd,50667,,,,
01391,Hermann-Kausen-Str.,506,Longerich,50737,0001,0057,0002,0042a
01392,Hermann-Kolb-Str.,402,Neuehrenfeld,50823,,,0002,0010
01393,Hermann-Kunz-Str.,903,Buchheim,51067,0001,0033,0002,0040
01394,Fritz-Reuter-Str.,201,Bayenthal,50968,0001,0003,0002,0018
01395,Hermann-Ost-Str.,909,Flittard,51061,0001,0027,0002,0036
01396,Hermann-Pflaume-Str.,304,Braunsfeld,50933,0003,0041,0006,0032
01397,Hermann-Stehr-Str.,904,Holweide,51067,0001,0041,0002,0028
01398,Hermelinweg,807,Brück,51109,0001,0007,0002,0014
01399,Hermesgasse,504,Niehl,50735,0081,0121,0076,0130e
01400,Hermeskeiler Platz,302,Sülz,50935,,,0002,0014
01401,Hermeskeiler Str.,302,Sülz,50935,0001,0061,0002,0044
01402,Hermodurstr.,808,Rath/Heumar,51107,0001,0005,0002,0004a
01403,Hermülheimer Str.,205,Zollstock,50969,0001,0083,0002,0082
01404,Herrenstrunder Str.,905,Dellbrück,51067,0001,0021,0002,0004
01405,Herrigergasse,305,Müngersdorf,50933,0003,0011,0002,0006
01406,Herschelstr.,902,Buchforst,51065,0001,0013,0002,0010
01407,Herseler Str.,204,Raderthal,50968,0001,0021,0002,0016
01408,Herstattallee,603,Seeberg,50769,,,0002,0016
01409,Herthastr.,205,Zollstock,50969,0001,0063,0002,0068
01410,Hertzstr.,902,Buchforst,51065,,,0002,0018
01411,Herwarthstr.,104,Neustadt/Nord,50672,0001,0031,0004,0026
01412,Herweghstr.,405,Bocklemünd/Mengenich,50829,0001,0069,0002,0032
01413,Herzogenrather Str.,304,Braunsfeld,50933,0001,0023,0002,0016
01414,Herzog-Johann-Str.,602,Fühlingen,50769,0001,0013,0002,0048
01415,Herzogstr.,103,Altstadt/Nord,50667,0003,0031,0002,0042
01416,Heßhofplatz,803,Vingst,51107,0003,0021,0004,0020
01417,Heßhofstr.,803,Vingst,51107,0001,0047,0002,0030
01418,Heumarkt,103,Altstadt/Nord,50667,0001,0077,0002,0072
01419,Heuserhof,603,Seeberg,50769,0001,0025,0002,0016
01420,Hibbelenstr.,803,Vingst,51107,,,0002,0022
01421,Hildeboldplatz,103,Altstadt/Nord,50672,0001,0023,0002,0030
01422,Hildebrandstr.,502,Mauenheim,50739,0001,0009,0002,0014
01423,Hildegardisstr.,503,Riehl,50735,0001,0011,0002,0008
01424,Hildegundweg,907,Dünnwald,51069,0001,0035,0002,0036
01425,Hildengasse,601,Merkenich,50769,0001,0011,0004,0026
01426,Hilgener Str.,905,Dellbrück,51067,0001,0011,0002,0010
01427,Hillerstr.,303,Lindenthal,50931,0001,0059,0008,0060
01428,Hillesheimstr.,504,Niehl,50735,0027,0049,0002,0032
01429,Hillscheider Weg,801,Humboldt/Gremberg,51105,,,0002,0012
01430,Himmerichstr.,302,Sülz,50937,0001,0005,0002,0006
01431,Hindemithweg,405,Bocklemünd/Mengenich,50829,0001,0007,,
01433,Hinter dem Heßgarten,803,Vingst,51107,0001,0009,0002,0008
01434,Hinter den Wiesen,701,Poll,51105,0001,0029,0002,0020
01435,Hirschbergstr.,301,Klettenberg,50939,0001,0029,0014,0032
01436,Hirschgäßchen,101,Altstadt/Süd,50678,0001,0001,0002,0004
01437,Hirschhofweg,608,Volkhoven/Weiler,50765,0001,0019,0002,0018
01438,Hirtsieferstr.,904,Holweide,51067,0001,0011,0002,0006
01439,Hirzstr.,302,Sülz,50937,0001,0045,0002,0038
01440,Hitdorfer Fährweg,601,Merkenich,50769,,,,
01440,Hitdorfer Fährweg,602,Fühlingen,50769,,,,
01441,Hittorfstr.,503,Riehl,50735,0001,0025,0002,0012
01442,Hitzelerstr.,204,Raderthal,50968,0001,0125,0002,0104
01443,Hochkirchener Str.,204,Raderthal,50968,0001,0021,,
01444,Hochmeisterstr.,903,Buchheim,51065,0001,0015,0002,0010
01445,Hochpfortenbüchel,101,Altstadt/Süd,50676,,,0002,0012
01446,Hochstadenstr.,102,Neustadt/Süd,50674,0001,0035,0002,0032
01447,Hochwaldstr.,302,Sülz,50935,0011,0011,0002,0038
01448,Hochwinkel,905,Dellbrück,51069,0001,0157,0002,0108
01449,Höfestr.,802,Kalk,51103,0003,0031,0002,0028
01450,Höhenberger Ring,804,Höhenberg,51103,,,0010,0010
01451,Höhenberger Str.,804,Höhenberg,51103,0013,0025,0016,0030
01452,Höhenfelder Mauspfad,905,Dellbrück,51069,,,,
01452,Höhenfelder Mauspfad,906,Höhenhaus,51061,,,,
01453,Höhenhauser Ring,901,Mülheim,51063,,,0002,0100
01454,Höhenhauser Weg,906,Höhenhaus,51061,0007,0007,,
01455,Höhrer Weg,801,Humboldt/Gremberg,51105,,,0002,0008
01456,Höhscheider Weg,906,Höhenhaus,51061,0001,0013,0002,0024
01457,Hölderlinstr.,201,Bayenthal,50968,0001,0029,0006,0038
01458,Höltystr.,201,Bayenthal,50968,0001,0011,0002,0016
01459,Höninger Platz,205,Zollstock,50969,0003,0031,,
01460,Höninger Weg,205,Zollstock,50969,0001,0381,0002a,0416
01461,"Höninger Weg,Weg B",205,Zollstock,50969,0003,0019,0006,0010
01462,Höxterstr.,807,Brück,51109,0001,0025,0002,0022
01463,Hoffmann-von-Fallersleben-Str.,202,Marienburg,50968,0001,0007,0002,0008
01464,Hoffnungsthaler Str.,807,Brück,51109,0001,0035,0008,0036
01465,Hoffnungstr.,801,Humboldt/Gremberg,51105,0001,0015,0002,0012
01466,Hofmannstr.,902,Buchforst,51065,,,0002,0014
01467,Hofrichterstr.,904,Holweide,51067,0001,0015,0004,0034
01468,Hofstr.,908,Stammheim,51061,0001,0093,0002,0098
01469,Hogenbergstr.,501,Nippes,50733,0001,0007,0002,0010
01470,Hoheneckenweg,507,Bilderstöckchen,50739,0001,0009,0002,0016
01471,Hohenfriedbergstr.,505,Weidenpesch,50737,0001,0011,0002,0014
01472,Hohenstaufenring,102,Neustadt/Süd,50674,0001,0063,0002,0078
01473,Hohensyburgstr.,806,Merheim,51109,0003,0035,0090,0134
01474,Hohentwielstr.,303,Lindenthal,50935,0001,0025,0004,0024
01475,Hohenzollernbrücke,103,Altstadt/Nord,50667,,,,
01475,Hohenzollernbrücke,105,Deutz,50679,,,,
01476,Hohenzollernring,104,Neustadt/Nord,50672,0001,0103,0002,0094
01477,Hohe Pforte,101,Altstadt/Süd,50676,0001,0027,0002,0022a
01478,Hohe Str.,101,Altstadt/Süd,50667,0001,0009,0002,0028
01478,Hohe Str.,103,Altstadt/Nord,50667,0041,0145,0030,0168
01479,Hohlgasse,506,Longerich,50739,0005,0057a,0002,0052
01481,Holbeinstr.,501,Nippes,50733,0001,0073,0002,0040
01482,Hollarstr.,303,Lindenthal,50931,0001,0005,0002,0002
01483,Hollerather Str.,302,Sülz,50937,0001,0019,,
01484,Hollweghstr.,802,Kalk,51103,0001,0021,0002,0026
01485,Holsteinstr.,901,Mülheim,51065,0001,0005,0002,0024
01486,Holtestr.,612,Worringen,50769,0019,0053,0002,0022
01487,Holunderweg,403,Bickendorf,50827,0001,0039,0002,0038
01488,Holweider Str.,901,Mülheim,51065,0001,0089,0002,0130
01489,Holzgasse,101,Altstadt/Süd,50676,0001,0015,0002,0016
01490,Holzheimer Weg,612,Worringen,50769,,,0034,0034
01491,Holzmarkt,101,Altstadt/Süd,50676,0047,0083,0002,0004
01492,Holzschneidergasse,612,Worringen,50769,,,0002,0014
01493,Holzweg,907,Dünnwald,51069,0001,0023,0002,0022
01494,Holzwerft,101,Altstadt/Süd,50676,,,,
01495,Homarstr.,803,Vingst,51107,0001,0085,0002,0100
01496,Homburger Str.,205,Zollstock,50969,0001,0017,0002,0024
01497,Honigsheimstr.,603,Seeberg,50769,0001,0017,0002,0006
01498,Honnefer Platz,301,Klettenberg,50939,0001,0005,,
01499,Honrather Str.,807,Brück,51109,0001,0017,0002,0018
01500,Honschaftsstr.,904,Holweide,51067,,,0002,0018
01500,Honschaftsstr.,906,Höhenhaus,51061,0287,0405,0214,0394
01501,Hoppegartener Str.,504,Niehl,50735,0001,0005,0002,0012
01502,Hoppersheider Weg,906,Höhenhaus,51061,0003,0055,0002,0056
01503,Hornpottweg,907,Dünnwald,51069,,,,
01504,Hornstr.,402,Neuehrenfeld,50823,0085,0091,0002,0096
01505,Horremer Str.,305,Müngersdorf,50933,0001,0009,0006,0008
01506,Horststr.,901,Mülheim,51063,0001,0005,0002,0012
01507,Hospeltstr.,401,Ehrenfeld,50825,0001,0069,0002,0076
01508,Hosterstr.,402,Neuehrenfeld,50825,0001,0005,0002,0014
01509,Hovenstr.,807,Brück,51109,0001,0041,0004,0044
01511,Hubertusstr.,909,Flittard,51061,0001,0043,0002,0030
01512,Hubertusweg,701,Poll,51105,0001,0001,,
01514,Hühnergasse,103,Altstadt/Nord,50667,0001,0001,,
01515,Hülchrather Str.,104,Neustadt/Nord,50670,0001,0037,0002,0012
01516,Hültzplatz,304,Braunsfeld,50933,0001,0003,0002,0004
01517,Hültzstr.,304,Braunsfeld,50933,0007,0037,0004,0040
01518,Hünenstr.,905,Dellbrück,51069,0007,0029,0002,0046
01520,Hürther Str.,205,Zollstock,50969,0009,0021,0002,0006
01521,Hüttenstr.,401,Ehrenfeld,50823,0001d,0071,0002,0046
01522,Hufelandstr.,909,Flittard,51061,0001,0163,0002,0116
01523,Hugo-Eckener-Str.,406,Ossendorf,50829,0021,0035,0014,0028
01524,Hugo-Preuss-Str.,904,Holweide,51067,0001,0017,0002,0018
01525,Hugotstr.,406,Ossendorf,50827,0001,0027,0002,0016
01526,Huhnsgasse,101,Altstadt/Süd,50676,0001,0053,0002,0046
01527,Humboldtstr.,101,Altstadt/Süd,50676,0001,0041,0006,0048
01528,Hummelsbergstr.,302,Sülz,50939,0001,0011,0002,0012
01529,Humperdinckstr.,905,Dellbrück,51069,0001,0003,0002,0004
01530,Hunsrückstr.,507,Bilderstöckchen,50739,0001,0015,0002,0018
01531,Husumer Str.,402,Neuehrenfeld,50825,,,0002,0010
01532,Hyazinthenweg,905,Dellbrück,51069,0001,0033,0002,0012
01533,Ibsenstr.,803,Vingst,51107,0003,0007,0002,0012
01534,Idastr.,905,Dellbrück,51069,0003,0059,0004,0062
01535,Iddelsfelder Hardt,905,Dellbrück,51069,0001,0001,,
01536,Iddelsfelder Str.,904,Holweide,51067,0001,0075,0006,0068
01537,Idsteiner Str.,801,Humboldt/Gremberg,51105,0001,0001,,
01538,Idunastr.,808,Rath/Heumar,51107,0001,0003,0002,0010
01539,Ikarosstr.,406,Ossendorf,50829,0001,0031,0002,0018
01540,Ilexweg,603,Seeberg,50769,0001,0059,0002,0052
01541,Ilfelder Weg,906,Höhenhaus,51061,0001,0005,0002,0004
01542,Illerweg,906,Höhenhaus,51061,0001,0017,0002,0016
01543,Ilmenauer Weg,804,Höhenberg,51103,0001,0021,0002,0004
01544,Iltisstr.,402,Neuehrenfeld,50825,0007,0155,0002,0166
01544,Iltisstr.,406,Ossendorf,50825,0157,0159,0168,0170
01546,Imbacher Weg,906,Höhenhaus,51061,0001,0009a,0002,0028
01547,Im Baumgarten,701,Poll,51105,0001,0033,0002,0032
01548,Im Birkenacker,906,Höhenhaus,51061,0001,0027,0002,0032
01549,Im Bischofsacker,902,Buchforst,51065,0001,0009a,0002,0018
01551,Im Brücker Bruch,807,Brück,51109,,,0002,0004
01552,Im Buchenkamp,807,Brück,51109,0025,0073,0068,0088
01553,Im Butterfaß,701,Poll,51105,0001,0009,0002,0010
01554,Im Dau,101,Altstadt/Süd,50678,0001,0017,0002,0020
01555,Im Eichenforst,905,Dellbrück,51069,0003,0039,0002,0026a
01556,Im Ferkulum,101,Altstadt/Süd,50678,0003,0037,0004,0062
01557,Im Fichtenhain,905,Dellbrück,51069,0001,0023,0008,0030
01558,Im Forst,701,Poll,51105,0001,0063,0002,0048
01559,Im Fuchsbau,807,Brück,51109,0003,0011,0002,0026
01560,Im Gartenhof,701,Poll,51105,0001,0011,0002,0008
01561,Im Glockenring,103,Altstadt/Nord,50668,0003,0021,0002,0016
01562,Im Gremberg,801,Humboldt/Gremberg,51107,,,0002,0004
01563,Im Grund,504,Niehl,50735,,,,
01564,Im Hasental,105,Deutz,50679,0041,0041,0002,0018
01565,Im Heidkamp,803,Vingst,51107,0001,0011,0002,0046
01566,Im Hemmerich,906,Höhenhaus,51061,0001,0019,0002,0020
01567,Im Klapperhof,103,Altstadt/Nord,50670,0001,0041,0002,0052
01568,Im Krahnenhof,103,Altstadt/Nord,50668,0001,0011,,
01570,Im Laach,101,Altstadt/Süd,50676,0001,0005,0004,0020
01571,Im Langen Bruch,807,Brück,51109,0001,0043,0002,0032
01572,Im Leimfeld,903,Buchheim,51065,0001,0011,0002,0012
01573,Im Leuchterbruch,907,Dünnwald,51069,0001,0027,0002,0036
01574,Im Lindweilerfeld,506,Longerich,50739,0003,0023,0004,0012
01575,Immekeppeler Str.,905,Dellbrück,51069,0001,0019,0010,0010
01576,Immendorfer Weg,204,Raderthal,50968,0001,0009,0002,0010
01577,Immergrünweg,701,Poll,51105,0001,0013,0002,0014
01578,Im Merheimer Felde,904,Holweide,51067,0001,0033,0002,0052
01579,Immermannstr.,303,Lindenthal,50931,0049,0065,0024,0052
01580,Im Mittelfeld,701,Poll,51105,0009,0029,0014,0034
01581,Im Oberdorf,701,Poll,51105,0001,0013,0002,0024
01582,Im Oberiddelsfeld,905,Dellbrück,51069,0001,0047,0002,0030
01583,Im Riephagen,905,Dellbrück,51069,,,0002,0034
01585,Im Rottfeld,906,Höhenhaus,51061,0001,0001,0002,0048a
01587,Im Sionstal,101,Altstadt/Süd,50676,0051,0051,,
01587,Im Sionstal,101,Altstadt/Süd,50678,0001,0029,0002,0018
01588,Im Stavenhof,103,Altstadt/Nord,50668,0001,0021,0002,0022
01589,Im Tannenforst,905,Dellbrück,51069,0001,0019,0002,0014
01590,Im Thurner Feld,905,Dellbrück,51069,0001,0041,0002,0068
01591,Im Tierkamp,904,Holweide,51067,,,0008,0010
01592,Im Wasserblech,808,Rath/Heumar,51107,0001a,0091,0002,0044
01593,Im Wasserfeld,701,Poll,51105,0001,0113,0040,0052
01594,Im Weichserhof,101,Altstadt/Süd,50678,0001,0011b,,
01595,Im Weidenbruch,906,Höhenhaus,51061,0009,0237,0002,0214
01596,Im Weidenkamp,906,Höhenhaus,51061,0001,0027,0002,0020
01597,Im Weingartskamp,909,Flittard,51061,0001,0057,0002,0058
01598,Im Wichheimer Feld,903,Buchheim,51067,0001,0011,0008,0042
01599,Im Wiesengrund,906,Höhenhaus,51061,0001,0019,0002,0020
01600,Im Winkel,901,Mülheim,51063,0001,0045,0002,0044
01601,Im Wirtskamp,907,Dünnwald,51069,0001,0013,0002,0012
01602,In den Heidenkämpen,808,Rath/Heumar,51107,0001,0017,0004,0028
01603,In den Kämpen,601,Merkenich,50769,,,0002,0014
01604,In den Reihen,802,Kalk,51103,0005,0021,0016,0016
01605,In der Barken,905,Dellbrück,51069,0001,0011,0002,0024
01606,In der Fleischhalle,103,Altstadt/Nord,50667,,,,
01607,In der Gansau,905,Dellbrück,51069,0001,0023,0004,0012
01608,In der Gracht,701,Poll,51105,0001,0045,0002,0032
01609,In der Handschaft,807,Brück,51109,0003,0021,0002,0020
01610,In der Höhle,103,Altstadt/Nord,50667,,,0002,0006a
01611,In der Hütte,904,Holweide,51067,0003,0009,0006,0016
01612,In der Kanne,701,Poll,51105,0001,0009,0002,0010
01613,In der Ledden,701,Poll,51105,0001,0025,0002,0040
01614,In der Lohn,612,Worringen,50769,0001,0055,0004,0034
01615,In der Maienkammer,504,Niehl,50735,0001,0025,0004,0038
01616,In der Muckel,612,Worringen,50769,0001,0011,,
01617,Industriestr.,504,Niehl,50735,,,0002,0018
01617,Industriestr.,601,Merkenich,50769,,,,
01617,Industriestr.,602,Fühlingen,50769,,,,
01618,Ingendorfer Weg,405,Bocklemünd/Mengenich,50829,0001,0103,0002,0096
01619,Innere Kanalstr.,104,Neustadt/Nord,50668,,,0260,0260
01619,Innere Kanalstr.,104,Neustadt/Nord,50670,,,0200,0228
01619,Innere Kanalstr.,104,Neustadt/Nord,50672,,,0098,0100
01619,Innere Kanalstr.,303,Lindenthal,50931,0007,0013,,
01619,Innere Kanalstr.,401,Ehrenfeld,50823,0015,0095,,
01619,Innere Kanalstr.,501,Nippes,50733,0273,0283,,
01620,Innweg,906,Höhenhaus,51061,0001,0017a,0002,0020
01621,Intzestr.,401,Ehrenfeld,50825,0007,0015,0008,0016
01622,Irmgardstr.,205,Zollstock,50969,0003,0019,0002,0016
01623,Irnfriedweg,502,Mauenheim,50739,,,0002,0016
01624,Isabellenstr.,101,Altstadt/Süd,50678,0001,0031,0002,0026
01625,Isarweg,906,Höhenhaus,51061,0001,0019a,0002,0020
01626,Isenburger Kirchweg,904,Holweide,51067,0031,0053,0006,0100
01627,Isenburger Str.,904,Holweide,51067,,,,
01628,Iserlohner Str.,806,Merheim,51109,0001,0039,0008,0032
01629,Isolanistr.,904,Holweide,51067,0009,0015,0002,0020
01630,Isselburger Str.,501,Nippes,50733,0001,0009,0002,0012
01631,Ittenbacher Str.,301,Klettenberg,50939,0001,0043,0002,0014
01632,Ivenshofweg,601,Merkenich,50769,0001,0041,,
01633,Jabachstr.,101,Altstadt/Süd,50676,0001,0001b,0004,0010
01634,Jagststr.,908,Stammheim,51061,0011,0023,,
01635,Jahnstr.,101,Altstadt/Süd,50676,0001,0033,0010,0038
01636,Jakob-Böhme-Str.,903,Buchheim,51065,0001,0023a,0002,0012
01637,Jakob-Kneip-Str.,701,Poll,51105,0001,0021,0002,0050
01638,Jakob-Rasquin-Str.,701,Poll,51105,0001,0003,0002,0002
01639,Jakobstr.,101,Altstadt/Süd,50678,0027,0035,0002,0068
01640,Jakob-Strünker-Str.,905,Dellbrück,51069,0001,0037,0002,0016
01641,Jakob-Zündorf-Weg,305,Müngersdorf,50933,,,,
01642,Jakordenstr.,103,Altstadt/Nord,50668,0001,0023,0002,0020
01643,Jan-Wellem-Str.,901,Mülheim,51065,0001,0023,0002,0002
01644,Jasminweg,906,Höhenhaus,51061,0001,0015,0002,0020
01645,Jean-Jaures-Str.,809,Neubrück,51109,0001,0023,0002,0016
01646,Jennerstr.,402,Neuehrenfeld,50823,,,0004,0008
01647,Jessestr.,402,Neuehrenfeld,50823,0003,0027,0002,0044
01648,Jesuitengasse,505,Weidenpesch,50735,0001,0081,0006,0092c
01648,Jesuitengasse,505,Weidenpesch,50737,0099,0139,0106,0148a
01649,Joeststr.,303,Lindenthal,50935,0001,0009,0002,0006
01650,Johann-Bendel-Str.,901,Mülheim,51063,0001,0001,,
01651,Johann-Bensberg-Str.,904,Holweide,51067,0001,0067,0002,0024
01652,Johann-Brinck-Platz,403,Bickendorf,50827,0001,0011,0002,0004
01653,Johann-Brinck-Str.,403,Bickendorf,50827,0001,0025,0002,0032
01654,Johann-Bueren-Str.,304,Braunsfeld,50933,0001,0003,0002a,0002b
01655,Johann-Classen-Str.,802,Kalk,51103,0023,0107,0002,0102
01656,Johannes-Albers-Str.,604,Heimersdorf,50767,0001,0075,0002,0056
01657,Johannes-Dech-Str.,506,Longerich,50737,0001,0075,0002,0036a
01658,Johannes-Greferath-Str.,301,Klettenberg,50939,0001,0009,0002,0012
01659,Johannes-Müller-Str.,503,Riehl,50735,0001,0065,0002,0054
01660,Johannes-Rings-Str.,506,Longerich,50737,,,,
01661,Johannes-Stumpf-Str.,903,Buchheim,51067,0001,0023,,
01662,Johannes-Trojan-Str.,701,Poll,51105,,,0002,0030
01663,Johannesweg,906,Höhenhaus,51061,0001,0045,0002,0052
01664,Johann-Heinrich-Platz,303,Lindenthal,50935,0009,0015,0004,0012
01665,Johannisstr.,103,Altstadt/Nord,50667,0011,0011,,
01665,Johannisstr.,103,Altstadt/Nord,50668,0043,0079,0004,0088
01666,Johanniterstr.,903,Buchheim,51065,0013,0045,0010,0038
01666,Johanniterstr.,903,Buchheim,51067,0047,0129,0040,0058
01667,Johann-Mayer-Str.,802,Kalk,51105,0001,0017,0002,0018
01668,Josef-Bayer-Str.,501,Nippes,50733,0001,0011,0002,0012
01669,Josef-Esser-Platz,403,Bickendorf,50827,,,0002,0012
01670,Josef-Gockeln-Str.,809,Neubrück,51109,0001,0013,0002,0018
01671,Josef-Haubrich-Hof,101,Altstadt/Süd,50676,0001,0005,0002,0002
01672,Josef-Wirth-Str.,904,Holweide,51067,0001,0005,0002,0028
01673,Josephskirchplatz,501,Nippes,50733,0001,0013,,
01674,Josephskirchstr.,802,Kalk,51103,0001,0049,0002,0062
01675,Joseph-Stelzmann-Str.,303,Lindenthal,50931,0009,0011,0018,0074
01675,Joseph-Stelzmann-Str.,303,Lindenthal,50937,0001,0007,0002,0014
01676,Josephstr.,101,Altstadt/Süd,50678,0001,0047,0004,0042
01677,Judengasse,103,Altstadt/Nord,50667,,,,
01678,Judenkirchhofsweg,105,Deutz,50679,0001,0001,0006,0006
01679,Jülicher Str.,102,Neustadt/Süd,50674,0001,0031,0006,0032
01680,Jünkerather Str.,302,Sülz,50937,0001,0003,0002,0004a
01681,Jüssenstr.,406,Ossendorf,50827,0001,0037,0002,0038
01682,Julius-Bau-Str.,901,Mülheim,51063,0003,0003,0002,0002
01683,Julius-Leber-Str.,506,Longerich,50739,0001,0031,0002,0024a
01684,Juliusstr.,901,Mülheim,51063,0001,0021,0002,0058b
01685,Jungbergerstr.,701,Poll,51105,0003,0017,0018,0032
01686,Jungbluthstr.,601,Merkenich,50769,0001,0063,0046,0060
