Produktbereich;PB_BEZ;Teilplanzeile;Ergebnis 2010;Plan 2011;Plan 2012;Plan 2013;Plan 2014;Plan 2015
09;Räumliche Planung und Entwicklung, Geoinformationen;05 - privatrechtl. Leistungsentgelte;157.821;156.348;156.188;156.188;156.188;56.188
09;Räumliche Planung und Entwicklung, Geoinformationen;06 - Kostenerstattungen und Umlagen;105.765;102.000;102.000;102.000;102.000;102.000
09;Räumliche Planung und Entwicklung, Geoinformationen;07 - sonstige ordentliche Erträge;938.383;262.061;261.196;312.826;302.709;283.294
09;Räumliche Planung und Entwicklung, Geoinformationen;08 - aktivierte Eigenleistungen;109.904;0;0;0;0;0
09;Räumliche Planung und Entwicklung, Geoinformationen;09 - Bestandsveränderungen;0;0;0;0;0;0
09;Räumliche Planung und Entwicklung, Geoinformationen;10 = ordentliche Erträge;5.031.371;7.245.779;8.114.540;10.937.014;7.097.205;3.568.020
09;Räumliche Planung und Entwicklung, Geoinformationen;11 - Personalaufwendungen;21.172.461;21.905.885;23.065.181;25.433.364;26.778.116;27.958.607
09;Räumliche Planung und Entwicklung, Geoinformationen;12 - Versorgungsaufwendungen;0;0;0;0;0;0
09;Räumliche Planung und Entwicklung, Geoinformationen;13 - Aufwendungen für Sach- und Dienstleistungen;1.332.577;6.522.773;7.806.894;5.860.561;4.562.621;2.296.521
09;Räumliche Planung und Entwicklung, Geoinformationen;14 - Bilanzielle Abschreibungen;159.526;304.741;392.946;502.783;500.968;503.098
09;Räumliche Planung und Entwicklung, Geoinformationen;15 - Transferaufwendungen;1.175.455;6.334.503;6.483.289;5.925.600;4.568.400;315.500
09;Räumliche Planung und Entwicklung, Geoinformationen;16 - sonstige ordentl. Aufwendungen;3.295.888;3.937.479;4.015.925;4.086.709;3.843.696;3.786.259
09;Räumliche Planung und Entwicklung, Geoinformationen;17 = ordentliche Aufwendungen;27.135.908;39.005.381;41.764.236;41.809.016;40.253.801;34.859.986
09;Räumliche Planung und Entwicklung, Geoinformationen;18 = Ergebnis der lfd. Verwaltungstätigkeit (10 und 17);-22.104.537;-31.759.603;-33.649.695;-30.872.002;-33.156.596;-31.291.966
09;Räumliche Planung und Entwicklung, Geoinformationen;19 - Finanzerträge;0;0;0;0;0;0
09;Räumliche Planung und Entwicklung, Geoinformationen;20 - Zinsen und sonst. Finanzaufwendungen;801.220;0;0;0;0;0
09;Räumliche Planung und Entwicklung, Geoinformationen;21 = Finanzergebnis (19 und 20);-801.220;0;0;0;0;0
09;Räumliche Planung und Entwicklung, Geoinformationen;22 = ordentliches Jahresergebnis (18 und 21);-22.905.757;-31.759.603;-33.649.695;-30.872.002;-33.156.596;-31.291.966
09;Räumliche Planung und Entwicklung, Geoinformationen;23 - außerordentliche Erträge;0;0;0;0;0;0
09;Räumliche Planung und Entwicklung, Geoinformationen;24 - außerordentliche Aufwendungen;0;0;0;0;0;0
09;Räumliche Planung und Entwicklung, Geoinformationen;25 = außerordentliches Ergebnis (23 und 24);0;0;0;0;0;0
09;Räumliche Planung und Entwicklung, Geoinformationen;26 = Jahresergebnis vor interner Leistungsver. (22 und 25);-22.905.757;-31.759.603;-33.649.695;-30.872.002;-33.156.596;-31.291.966
09;Räumliche Planung und Entwicklung, Geoinformationen;27 - Interne Leistungsbeziehung (Aufwand / (-) Ertrag);488.452;357.528;318.939;352.021;352.021;352.021
09;Räumliche Planung und Entwicklung, Geoinformationen;28 = Jahresergebnis;-23.394.209;-32.117.130;-33.968.634;-31.224.023;-33.508.617;-31.643.987
10;Bauen und Wohnen;01 - Steuern und ähnliche Abgaben;0;0;0;0;0;0
10;Bauen und Wohnen;02 - Zuwendungen und allg. Umlagen;1.009.587;608.100;653.683;653.683;653.683;653.683
10;Bauen und Wohnen;03 - sonstige Transfererträge;463.786;402.008;402.000;402.000;402.000;402.000
10;Bauen und Wohnen;04 - öffentl.rechtl. Leistungsentgelte;17.554.769;19.605.620;19.425.120;19.409.120;19.409.120;19.409.120
10;Bauen und Wohnen;05 - privatrechtl. Leistungsentgelte;6.671.264;6.344.800;7.583.030;7.665.130;7.703.230;8.377.330
10;Bauen und Wohnen;06 - Kostenerstattungen und Umlagen;293.910;255.800;300.500;255.500;245.500;245.500
10;Bauen und Wohnen;07 - sonstige ordentliche Erträge;2.864.020;535.908;416.500;416.500;416.500;416.500
10;Bauen und Wohnen;08 - aktivierte Eigenleistungen;104;0;0;0;0;0
10;Bauen und Wohnen;09 - Bestandsveränderungen;0;0;0;0;0;0
10;Bauen und Wohnen;10 = ordentliche Erträge;28.857.439;27.752.236;28.780.833;28.801.933;28.830.033;29.504.133
10;Bauen und Wohnen;11 - Personalaufwendungen;27.659.409;26.435.759;28.967.924;31.218.957;32.846.476;34.357.707
10;Bauen und Wohnen;12 - Versorgungsaufwendungen;23;0;0;0;0;0
10;Bauen und Wohnen;13 - Aufwendungen für Sach- und Dienstleistungen;14.290.626;14.635.692;17.640.067;17.142.667;13.852.667;13.852.667
10;Bauen und Wohnen;14 - Bilanzielle Abschreibungen;3.270.830;2.781.352;2.785.759;2.898.156;2.902.364;3.192.260
10;Bauen und Wohnen;15 - Transferaufwendungen;8.829.794;7.493.735;8.130.665;7.781.015;7.671.645;7.777.635
10;Bauen und Wohnen;16 - sonstige ordentl. Aufwendungen;16.358.995;18.133.564;18.983.689;17.343.415;18.625.615;18.093.215
10;Bauen und Wohnen;17 = ordentliche Aufwendungen;70.409.677;69.480.102;76.508.104;76.384.211;75.898.767;77.273.484
10;Bauen und Wohnen;18 = Ergebnis der lfd. Verwaltungstätigkeit (10 und 17);-41.552.238;-41.727.866;-47.727.271;-47.582.278;-47.068.734;-47.769.351
10;Bauen und Wohnen;19 - Finanzerträge;7.663.568;7.626.500;9.073.110;9.225.110;10.003.810;10.294.410
10;Bauen und Wohnen;20 - Zinsen und sonst. Finanzaufwendungen;314.205;310.700;303.400;295.900;304.200;311.700
10;Bauen und Wohnen;21 = Finanzergebnis (19 und 20);7.349.363;7.315.800;8.769.710;8.929.210;9.699.610;9.982.710
10;Bauen und Wohnen;22 = ordentliches Jahresergebnis (18 und 21);-34.202.876;-34.412.066;-38.957.561;-38.653.068;-37.369.124;-37.786.641
10;Bauen und Wohnen;23 - außerordentliche Erträge;0;0;0;0;0;0
10;Bauen und Wohnen;24 - außerordentliche Aufwendungen;0;0;0;0;0;0
10;Bauen und Wohnen;25 = außerordentliches Ergebnis (23 und 24);0;0;0;0;0;0
10;Bauen und Wohnen;26 = Jahresergebnis vor interner Leistungsver. (22 und 25);-34.202.876;-34.412.066;-38.957.561;-38.653.068;-37.369.124;-37.786.641
10;Bauen und Wohnen;27 - Interne Leistungsbeziehung (Aufwand / (-) Ertrag);1.544.911;1.441.854;1.790.364;1.790.364;1.790.364;1.790.364
10;Bauen und Wohnen;28 = Jahresergebnis;-35.747.787;-35.853.920;-40.747.926;-40.443.433;-39.159.489;-39.577.005
11;Ver- und Entsorgung;01 - Steuern und ähnliche Abgaben;0;0;0;0;0;0
11;Ver- und Entsorgung;02 - Zuwendungen und allg. Umlagen;237.003;0;0;0;0;0
11;Ver- und Entsorgung;03 - sonstige Transfererträge;85.092.297;82.830.950;80.321.550;78.576.480;13.017.148;0
11;Ver- und Entsorgung;04 - öffentl.rechtl. Leistungsentgelte;1.157.048;513.100;663.654;701.733;738.509;775.507
11;Ver- und Entsorgung;05 - privatrechtl. Leistungsentgelte;0;0;0;0;0;0
11;Ver- und Entsorgung;06 - Kostenerstattungen und Umlagen;885.883;0;507.368;484.618;461.867;439.116
11;Ver- und Entsorgung;07 - sonstige ordentliche Erträge;73.778.889;72.140.000;72.140.000;72.140.000;72.140.000;72.140.000
11;Ver- und Entsorgung;08 - aktivierte Eigenleistungen;0;0;0;0;0;0
11;Ver- und Entsorgung;09 - Bestandsveränderungen;0;0;0;0;0;0
11;Ver- und Entsorgung;10 = ordentliche Erträge;161.151.119;155.484.050;153.632.572;151.902.830;86.357.524;73.354.623
11;Ver- und Entsorgung;11 - Personalaufwendungen;493.156;403.539;487.602;531.284;568.824;605.944
11;Ver- und Entsorgung;12 - Versorgungsaufwendungen;0;0;0;0;0;0
11;Ver- und Entsorgung;13 - Aufwendungen für Sach- und Dienstleistungen;2.290.735;1.551.666;1.985.615;2.041.113;2.096.610;2.152.108
11;Ver- und Entsorgung;14 - Bilanzielle Abschreibungen;4.168.631;2.970.143;3.486.258;3.606.099;3.533.877;3.253.020
11;Ver- und Entsorgung;15 - Transferaufwendungen;0;0;0;0;0;0
11;Ver- und Entsorgung;16 - sonstige ordentl. Aufwendungen;2.610.370;473.881;4.229.407;502.007;3.202.007;5.302.007
11;Ver- und Entsorgung;17 = ordentliche Aufwendungen;9.562.892;5.399.228;10.188.881;6.680.502;9.401.318;11.313.078
11;Ver- und Entsorgung;18 = Ergebnis der lfd. Verwaltungstätigkeit (10 und 17);151.588.227;150.084.822;143.443.691;145.222.328;76.956.205;62.041.545
11;Ver- und Entsorgung;19 - Finanzerträge;11.844.786;0;13.133.000;12.731.000;12.109.000;11.931.000
11;Ver- und Entsorgung;20 - Zinsen und sonst. Finanzaufwendungen;0;0;0;0;0;0
11;Ver- und Entsorgung;21 = Finanzergebnis (19 und 20);11.844.786;0;13.133.000;12.731.000;12.109.000;11.931.000
11;Ver- und Entsorgung;22 = ordentliches Jahresergebnis (18 und 21);163.433.013;150.084.822;156.576.691;157.953.328;89.065.205;73.972.545
11;Ver- und Entsorgung;23 - außerordentliche Erträge;0;0;0;0;0;0
11;Ver- und Entsorgung;24 - außerordentliche Aufwendungen;0;0;0;0;0;0
11;Ver- und Entsorgung;25 = außerordentliches Ergebnis (23 und 24);0;0;0;0;0;0
11;Ver- und Entsorgung;26 = Jahresergebnis vor interner Leistungsver. (22 und 25);163.433.013;150.084.822;156.576.691;157.953.328;89.065.205;73.972.545
11;Ver- und Entsorgung;27 - Interne Leistungsbeziehung (Aufwand / (-) Ertrag);4.670;11.260;2.000;2.000;2.000;2.000
11;Ver- und Entsorgung;28 = Jahresergebnis;163.428.343;150.073.562;156.574.691;157.951.328;89.063.205;73.970.545
12;Verkehrsflächen und -anlagen, ÖPNV;01 - Steuern und ähnliche Abgaben;0;0;0;0;0;0
12;Verkehrsflächen und -anlagen, ÖPNV;02 - Zuwendungen und allg. Umlagen;68.267.676;62.048.844;67.828.995;70.232.420;70.348.628;68.436.605
12;Verkehrsflächen und -anlagen, ÖPNV;03 - sonstige Transfererträge;0;0;0;0;0;0
12;Verkehrsflächen und -anlagen, ÖPNV;04 - öffentl.rechtl. Leistungsentgelte;44.779.185;47.459.075;47.761.011;48.911.014;48.911.008;48.911.017
12;Verkehrsflächen und -anlagen, ÖPNV;05 - privatrechtl. Leistungsentgelte;4.624.840;4.604.269;4.731.096;7.241.096;9.251.096;11.251.096
12;Verkehrsflächen und -anlagen, ÖPNV;06 - Kostenerstattungen und Umlagen;351.430;246.300;199.700;1.681.500;73.700;73.700
12;Verkehrsflächen und -anlagen, ÖPNV;07 - sonstige ordentliche Erträge;12.264.441;11.260.520;10.140.011;9.727.100;9.398.355;9.225.795
12;Verkehrsflächen und -anlagen, ÖPNV;08 - aktivierte Eigenleistungen;1.131.349;1.148.883;2.026.858;2.082.660;1.963.053;1.595.975
12;Verkehrsflächen und -anlagen, ÖPNV;09 - Bestandsveränderungen;0;0;0;0;0;0
12;Verkehrsflächen und -anlagen, ÖPNV;10 = ordentliche Erträge;131.418.921;126.767.890;132.687.672;139.875.789;139.945.840;139.494.189
12;Verkehrsflächen und -anlagen, ÖPNV;11 - Personalaufwendungen;26.450.545;27.153.163;28.831.785;31.655.807;33.188.513;34.499.468
12;Verkehrsflächen und -anlagen, ÖPNV;12 - Versorgungsaufwendungen;0;0;0;0;0;0
12;Verkehrsflächen und -anlagen, ÖPNV;13 - Aufwendungen für Sach- und Dienstleistungen;85.516.939;108.120.390;98.028.589;102.508.968;89.313.825;89.072.640
12;Verkehrsflächen und -anlagen, ÖPNV;14 - Bilanzielle Abschreibungen;113.151.271;118.118.030;118.427.584;118.132.585;117.805.477;116.600.855
12;Verkehrsflächen und -anlagen, ÖPNV;15 - Transferaufwendungen;18.563.815;22.004.762;40.697.470;45.016.470;47.327.469;48.621.468
12;Verkehrsflächen und -anlagen, ÖPNV;16 - sonstige ordentl. Aufwendungen;31.855.437;20.136.907;24.908.647;25.173.099;19.561.354;19.221.567
12;Verkehrsflächen und -anlagen, ÖPNV;17 = ordentliche Aufwendungen;275.538.007;295.533.253;310.894.076;322.486.929;307.196.638;308.015.998
12;Verkehrsflächen und -anlagen, ÖPNV;18 = Ergebnis der lfd. Verwaltungstätigkeit (10 und 17);-144.119.086;-168.765.363;-178.206.405;-182.611.140;-167.250.798;-168.521.809
12;Verkehrsflächen und -anlagen, ÖPNV;19 - Finanzerträge;14.530;16.200;15.200;15.200;15.400;15.200
12;Verkehrsflächen und -anlagen, ÖPNV;20 - Zinsen und sonst. Finanzaufwendungen;771.871;74.142;83.642;83.642;83.642;83.642
12;Verkehrsflächen und -anlagen, ÖPNV;21 = Finanzergebnis (19 und 20);-757.341;-57.942;-68.442;-68.442;-68.242;-68.442
12;Verkehrsflächen und -anlagen, ÖPNV;22 = ordentliches Jahresergebnis (18 und 21);-144.876.427;-168.823.305;-178.274.847;-182.679.582;-167.319.040;-168.590.251
12;Verkehrsflächen und -anlagen, ÖPNV;23 - außerordentliche Erträge;0;0;0;0;0;0
12;Verkehrsflächen und -anlagen, ÖPNV;24 - außerordentliche Aufwendungen;0;0;0;0;0;0
12;Verkehrsflächen und -anlagen, ÖPNV;25 = außerordentliches Ergebnis (23 und 24);0;0;0;0;0;0
12;Verkehrsflächen und -anlagen, ÖPNV;26 = Jahresergebnis vor interner Leistungsver. (22 und 25);-144.876.427;-168.823.305;-178.274.847;-182.679.582;-167.319.040;-168.590.251
12;Verkehrsflächen und -anlagen, ÖPNV;27 - Interne Leistungsbeziehung (Aufwand / (-) Ertrag);905.260;713.753;917.190;917.190;917.190;917.190
12;Verkehrsflächen und -anlagen, ÖPNV;28 = Jahresergebnis;-145.781.687;-169.537.058;-179.192.036;-183.596.772;-168.236.230;-169.507.441
13;Natur- und Landschaftspflege;01 - Steuern und ähnliche Abgaben;0;0;0;0;0;0
13;Natur- und Landschaftspflege;02 - Zuwendungen und allg. Umlagen;766.426;673.735;773.072;772.822;772.430;772.314
13;Natur- und Landschaftspflege;03 - sonstige Transfererträge;0;600;0;0;0;0
13;Natur- und Landschaftspflege;04 - öffentl.rechtl. Leistungsentgelte;19.564.133;20.818.748;20.515.207;19.179.224;19.589.504;19.951.868
13;Natur- und Landschaftspflege;05 - privatrechtl. Leistungsentgelte;573.291;564.888;560.388;560.388;560.388;560.388
13;Natur- und Landschaftspflege;06 - Kostenerstattungen und Umlagen;1.268.321;1.221.660;1.263.120;1.263.120;1.263.120;1.263.120
13;Natur- und Landschaftspflege;07 - sonstige ordentliche Erträge;2.922.177;197.756;197.856;197.856;197.856;197.856
13;Natur- und Landschaftspflege;08 - aktivierte Eigenleistungen;123.311;0;189.358;173.166;195.169;248.549
13;Natur- und Landschaftspflege;09 - Bestandsveränderungen;0;0;0;0;0;0
13;Natur- und Landschaftspflege;10 = ordentliche Erträge;25.217.659;23.477.388;23.499.001;22.146.576;22.578.467;22.994.095
13;Natur- und Landschaftspflege;11 - Personalaufwendungen;36.751.205;37.328.221;38.222.925;42.085.815;43.782.174;45.088.393
13;Natur- und Landschaftspflege;12 - Versorgungsaufwendungen;0;0;0;0;0;0
13;Natur- und Landschaftspflege;13 - Aufwendungen für Sach- und Dienstleistungen;29.498.287;33.019.872;31.679.235;28.969.022;26.631.022;26.519.022
13;Natur- und Landschaftspflege;14 - Bilanzielle Abschreibungen;2.947.716;3.947.566;3.446.857;3.574.660;3.613.583;3.708.443
13;Natur- und Landschaftspflege;15 - Transferaufwendungen;259.704;245.100;264.600;260.100;260.100;260.100
13;Natur- und Landschaftspflege;16 - sonstige ordentl. Aufwendungen;5.876.307;4.873.112;5.498.696;5.045.696;5.045.696;5.045.696
13;Natur- und Landschaftspflege;17 = ordentliche Aufwendungen;75.333.219;79.413.871;79.112.314;79.935.293;79.332.575;80.621.655
13;Natur- und Landschaftspflege;18 = Ergebnis der lfd. Verwaltungstätigkeit (10 und 17);-50.115.561;-55.936.483;-55.613.313;-57.788.717;-56.754.108;-57.627.560
13;Natur- und Landschaftspflege;19 - Finanzerträge;0;0;0;0;0;0
13;Natur- und Landschaftspflege;20 - Zinsen und sonst. Finanzaufwendungen;0;28.000;1.000;1.000;1.000;1.000
13;Natur- und Landschaftspflege;21 = Finanzergebnis (19 und 20);0;-28.000;-1.000;-1.000;-1.000;-1.000
13;Natur- und Landschaftspflege;22 = ordentliches Jahresergebnis (18 und 21);-50.115.561;-55.964.483;-55.614.313;-57.789.717;-56.755.108;-57.628.560
13;Natur- und Landschaftspflege;23 - außerordentliche Erträge;0;0;0;0;0;0
13;Natur- und Landschaftspflege;24 - außerordentliche Aufwendungen;0;0;0;0;0;0
13;Natur- und Landschaftspflege;25 = außerordentliches Ergebnis (23 und 24);0;0;0;0;0;0
13;Natur- und Landschaftspflege;26 = Jahresergebnis vor interner Leistungsver. (22 und 25);-50.115.561;-55.964.483;-55.614.313;-57.789.717;-56.755.108;-57.628.560
13;Natur- und Landschaftspflege;27 - Interne Leistungsbeziehung (Aufwand / (-) Ertrag);695.149;668.182;740.103;740.103;740.103;740.103
13;Natur- und Landschaftspflege;28 = Jahresergebnis;-50.810.710;-56.632.665;-56.354.417;-58.529.820;-57.495.211;-58.368.663
14;Umweltschutz;01 - Steuern und ähnliche Abgaben;0;0;0;0;0;0
14;Umweltschutz;02 - Zuwendungen und allg. Umlagen;333.129;1.115.200;2.177.300;737.300;357.300;357.300
14;Umweltschutz;03 - sonstige Transfererträge;0;0;0;0;0;0
14;Umweltschutz;04 - öffentl.rechtl. Leistungsentgelte;426.672;699.150;920.000;550.000;470.000;470.000
14;Umweltschutz;05 - privatrechtl. Leistungsentgelte;20;600;600;600;600;600
14;Umweltschutz;06 - Kostenerstattungen und Umlagen;258.221;119.750;530.000;530.000;530.000;530.000
14;Umweltschutz;07 - sonstige ordentliche Erträge;2.320.814;390.828;268.128;268.128;268.128;268.128
14;Umweltschutz;08 - aktivierte Eigenleistungen;0;0;0;0;0;0
14;Umweltschutz;09 - Bestandsveränderungen;0;0;0;0;0;0
14;Umweltschutz;10 = ordentliche Erträge;3.338.856;2.325.528;3.896.028;2.086.028;1.626.028;1.626.028
14;Umweltschutz;11 - Personalaufwendungen;7.965.960;7.872.021;8.402.768;9.240.752;9.692.629;10.077.666
14;Umweltschutz;12 - Versorgungsaufwendungen;0;0;0;0;0;0
14;Umweltschutz;13 - Aufwendungen für Sach- und Dienstleistungen;2.501.620;2.511.620;1.396.076;1.421.076;1.346.876;1.346.876
14;Umweltschutz;14 - Bilanzielle Abschreibungen;230.431;184.008;183.330;197.598;175.346;172.459
14;Umweltschutz;15 - Transferaufwendungen;-57;0;74.566;74.566;74.566;17.066
14;Umweltschutz;16 - sonstige ordentl. Aufwendungen;949.235;1.047.276;3.411.881;1.579.381;1.179.381;1.179.381
14;Umweltschutz;17 = ordentliche Aufwendungen;11.647.189;11.614.924;13.468.621;12.513.372;12.468.798;12.793.448
14;Umweltschutz;18 = Ergebnis der lfd. Verwaltungstätigkeit (10 und 17);-8.308.333;-9.289.396;-9.572.593;-10.427.344;-10.842.770;-11.167.420
14;Umweltschutz;19 - Finanzerträge;0;0;0;0;0;0
14;Umweltschutz;20 - Zinsen und sonst. Finanzaufwendungen;0;0;2.000;2.000;2.000;2.000
14;Umweltschutz;21 = Finanzergebnis (19 und 20);0;0;-2.000;-2.000;-2.000;-2.000
14;Umweltschutz;22 = ordentliches Jahresergebnis (18 und 21);-8.308.333;-9.289.396;-9.574.593;-10.429.344;-10.844.770;-11.169.420
14;Umweltschutz;23 - außerordentliche Erträge;0;0;0;0;0;0
14;Umweltschutz;24 - außerordentliche Aufwendungen;0;0;0;0;0;0
14;Umweltschutz;25 = außerordentliches Ergebnis (23 und 24);0;0;0;0;0;0
14;Umweltschutz;26 = Jahresergebnis vor interner Leistungsver. (22 und 25);-8.308.333;-9.289.396;-9.574.593;-10.429.344;-10.844.770;-11.169.420
14;Umweltschutz;27 - Interne Leistungsbeziehung (Aufwand / (-) Ertrag);298.127;252.355;332.513;332.513;332.513;332.513
14;Umweltschutz;28 = Jahresergebnis;-8.606.460;-9.541.751;-9.907.107;-10.761.857;-11.177.283;-11.501.933
15;Wirtschaft und Tourismus;01 - Steuern und ähnliche Abgaben;0;0;0;0;0;0
15;Wirtschaft und Tourismus;02 - Zuwendungen und allg. Umlagen;640.826;597.400;841.680;874.440;878.010;814.450
15;Wirtschaft und Tourismus;03 - sonstige Transfererträge;0;0;0;0;0;0
15;Wirtschaft und Tourismus;04 - öffentl.rechtl. Leistungsentgelte;0;0;0;0;0;0
15;Wirtschaft und Tourismus;05 - privatrechtl. Leistungsentgelte;1.722.274;1.415.000;1.415.000;1.415.000;1.415.000;1.415.000
15;Wirtschaft und Tourismus;06 - Kostenerstattungen und Umlagen;315.605;189.700;250.250;204.600;204.900;196.100
15;Wirtschaft und Tourismus;07 - sonstige ordentliche Erträge;62.750;9.115.600;16.697.505;7.912.500;7.912.500;7.912.500
15;Wirtschaft und Tourismus;08 - aktivierte Eigenleistungen;86.706;0;0;0;0;0
15;Wirtschaft und Tourismus;09 - Bestandsveränderungen;0;0;0;0;0;0
15;Wirtschaft und Tourismus;10 = ordentliche Erträge;2.828.161;11.317.700;19.204.435;10.406.540;10.410.410;10.338.050
15;Wirtschaft und Tourismus;11 - Personalaufwendungen;4.416.329;3.598.785;4.532.756;5.102.208;5.408.277;5.630.435
15;Wirtschaft und Tourismus;12 - Versorgungsaufwendungen;0;0;0;0;0;0
15;Wirtschaft und Tourismus;13 - Aufwendungen für Sach- und Dienstleistungen;351.163;1.230.746;660.548;498.248;501.248;496.748
15;Wirtschaft und Tourismus;14 - Bilanzielle Abschreibungen;203.017;140.527;11.271.069;193.981;210.186;345.791
15;Wirtschaft und Tourismus;15 - Transferaufwendungen;11.286.595;10.603.350;11.323.814;11.027.159;10.961.574;11.393.283
15;Wirtschaft und Tourismus;16 - sonstige ordentl. Aufwendungen;20.406.477;17.443.047;17.692.570;17.686.742;17.687.612;17.676.752
15;Wirtschaft und Tourismus;17 = ordentliche Aufwendungen;36.663.580;33.016.455;45.480.756;34.508.338;34.768.897;35.543.009
15;Wirtschaft und Tourismus;18 = Ergebnis der lfd. Verwaltungstätigkeit (10 und 17);-33.835.419;-21.698.755;-26.276.321;-24.101.798;-24.358.487;-25.204.959
15;Wirtschaft und Tourismus;19 - Finanzerträge;70.970.000;60.000.000;60.000.000;60.000.000;60.000.000;60.000.000
15;Wirtschaft und Tourismus;20 - Zinsen und sonst. Finanzaufwendungen;0;0;0;0;0;0
15;Wirtschaft und Tourismus;21 = Finanzergebnis (19 und 20);70.970.000;60.000.000;60.000.000;60.000.000;60.000.000;60.000.000
15;Wirtschaft und Tourismus;22 = ordentliches Jahresergebnis (18 und 21);37.134.581;38.301.245;33.723.679;35.898.202;35.641.513;34.795.041
15;Wirtschaft und Tourismus;23 - außerordentliche Erträge;0;0;0;0;0;0
15;Wirtschaft und Tourismus;24 - außerordentliche Aufwendungen;0;0;0;0;0;0
15;Wirtschaft und Tourismus;25 = außerordentliches Ergebnis (23 und 24);0;0;0;0;0;0
15;Wirtschaft und Tourismus;26 = Jahresergebnis vor interner Leistungsver. (22 und 25);37.134.581;38.301.245;33.723.679;35.898.202;35.641.513;34.795.041
15;Wirtschaft und Tourismus;27 - Interne Leistungsbeziehung (Aufwand / (-) Ertrag);166.591;177.100;184.135;184.135;184.135;184.135
15;Wirtschaft und Tourismus;28 = Jahresergebnis;36.967.990;38.124.145;33.539.543;35.714.067;35.457.378;34.610.905
16;Allgemeine Finanzwirtschaft;01 - Steuern und ähnliche Abgaben;1.588.079.095;1.682.635.000;1.779.535.000;1.856.117.000;1.923.487.000;1.996.397.000
16;Allgemeine Finanzwirtschaft;02 - Zuwendungen und allg. Umlagen;214.529.587;199.790.215;329.308.215;301.713.215;314.613.215;325.813.215
16;Allgemeine Finanzwirtschaft;03 - sonstige Transfererträge;0;0;0;0;0;0
16;Allgemeine Finanzwirtschaft;04 - öffentl.rechtl. Leistungsentgelte;0;0;0;0;0;0
16;Allgemeine Finanzwirtschaft;05 - privatrechtl. Leistungsentgelte;0;0;0;0;0;0
16;Allgemeine Finanzwirtschaft;06 - Kostenerstattungen und Umlagen;1.289.741;1.316.600;1.566.200;1.561.900;1.558.200;1.549.900
16;Allgemeine Finanzwirtschaft;07 - sonstige ordentliche Erträge;32.638.053;23.418.200;23.418.200;23.418.200;23.418.200;23.418.200
16;Allgemeine Finanzwirtschaft;08 - aktivierte Eigenleistungen;0;0;0;0;0;0
16;Allgemeine Finanzwirtschaft;09 - Bestandsveränderungen;0;0;0;0;0;0
16;Allgemeine Finanzwirtschaft;10 = ordentliche Erträge;1.836.536.476;1.907.160.015;2.133.827.615;2.182.810.315;2.263.076.615;2.347.178.315
16;Allgemeine Finanzwirtschaft;11 - Personalaufwendungen;0;-11.250.000;0;0;0;0
16;Allgemeine Finanzwirtschaft;12 - Versorgungsaufwendungen;0;0;0;0;0;0
16;Allgemeine Finanzwirtschaft;13 - Aufwendungen für Sach- und Dienstleistungen;0;0;0;0;0;0
16;Allgemeine Finanzwirtschaft;14 - Bilanzielle Abschreibungen;294.897;0;0;0;0;0
16;Allgemeine Finanzwirtschaft;15 - Transferaufwendungen;397.254.372;375.555.639;426.870.000;437.617.000;459.473.000;477.503.000
16;Allgemeine Finanzwirtschaft;16 - sonstige ordentl. Aufwendungen;123.419;114.000;114.000;114.000;114.000;114.000
16;Allgemeine Finanzwirtschaft;17 = ordentliche Aufwendungen;397.672.688;364.419.639;426.984.000;437.731.000;459.587.000;477.617.000
16;Allgemeine Finanzwirtschaft;18 = Ergebnis der lfd. Verwaltungstätigkeit (10 und 17);1.438.863.788;1.542.740.376;1.706.843.615;1.745.079.315;1.803.489.615;1.869.561.315
16;Allgemeine Finanzwirtschaft;19 - Finanzerträge;9.863.725;10.916.000;9.372.800;11.691.100;13.231.300;12.873.700
16;Allgemeine Finanzwirtschaft;20 - Zinsen und sonst. Finanzaufwendungen;99.845.533;130.707.100;131.919.600;131.361.700;135.894.000;136.885.100
16;Allgemeine Finanzwirtschaft;21 = Finanzergebnis (19 und 20);-89.981.808;-119.791.100;-122.546.800;-119.670.600;-122.662.700;-124.011.400
16;Allgemeine Finanzwirtschaft;22 = ordentliches Jahresergebnis (18 und 21);1.348.881.980;1.422.949.276;1.584.296.815;1.625.408.715;1.680.826.915;1.745.549.915
16;Allgemeine Finanzwirtschaft;23 - außerordentliche Erträge;0;0;0;0;0;0
16;Allgemeine Finanzwirtschaft;24 - außerordentliche Aufwendungen;0;0;0;0;0;0
16;Allgemeine Finanzwirtschaft;25 = außerordentliches Ergebnis (23 und 24);0;0;0;0;0;0
16;Allgemeine Finanzwirtschaft;26 = Jahresergebnis vor interner Leistungsver. (22 und 25);1.348.881.980;1.422.949.276;1.584.296.815;1.625.408.715;1.680.826.915;1.745.549.915
16;Allgemeine Finanzwirtschaft;27 - Interne Leistungsbeziehung (Aufwand / (-) Ertrag);0;0;0;0;0;0
16;Allgemeine Finanzwirtschaft;28 = Jahresergebnis;1.348.881.980;1.422.949.276;1.584.296.815;1.625.408.715;1.680.826.915;1.745.549.915
17;Stiftungen;01 - Steuern und ähnliche Abgaben;0;0;0;0;0;0
17;Stiftungen;02 - Zuwendungen und allg. Umlagen;115.836;120.500;91.600;0;0;0
17;Stiftungen;03 - sonstige Transfererträge;0;0;0;0;0;0
